date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:05:18	19213/19213	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2008%20Sep%202019%2007:20:28%20GMT	https://strongalts.com/robots.txt		(from )
20:05:18	19213/19213	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Sep%202019%2007:20:28%20GMT	https://strongalts.com/	C:/Users/Sebit/Desktop/LionAlts/strongalts.com/index.html	(from )
20:05:19	636366/636366	---M--	200	added ('OK')	image/png	etag:%225f1e64db80acebb5282191cb872728b1%22	https://i.imgur.com/t9WUOSF.png	C:/Users/Sebit/Desktop/LionAlts/i.imgur.com/t9WUOSF.png	(from https://strongalts.com/)
20:05:20	12142/12142	---M--	200	added ('OK')	text/css	date:Sun,%2008%20Sep%202019%2003:17:46%20GMT	https://strongalts.com/assets/style.css	C:/Users/Sebit/Desktop/LionAlts/strongalts.com/assets/style.css	(from https://strongalts.com/)
20:05:21	55183/55183	---MCZ	200	added ('OK')	text/css	etag:W/%2277cbad34e5ce95e70847b074e05faeab%22	https://use.fontawesome.com/releases/v5.8.2/css/all.css	C:/Users/Sebit/Desktop/LionAlts/use.fontawesome.com/releases/v5.8.2/css/all.css	(from https://strongalts.com/)
20:05:21	26053/26053	---M-Z	200	added ('OK')	text/css	etag:W/%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/Users/Sebit/Desktop/LionAlts/unpkg.com/aos@2.3.1/dist/aos.css	(from https://strongalts.com/)
20:05:22	94768/94768	---MCZ	200	added ('OK')	text/css	etag:W/%2219e0ee9-17340-5917af8706b26-gzip%22	https://eshxn.xyz/e/hover.css	C:/Users/Sebit/Desktop/LionAlts/eshxn.xyz/e/hover.css	(from https://strongalts.com/)
20:05:24	88151/88151	---M-Z	200	added ('OK')	application/javascript	etag:W/%225cae4a5e-15857%22	https://code.jquery.com/jquery-3.4.0.min.js	C:/Users/Sebit/Desktop/LionAlts/code.jquery.com/jquery-3.4.0.min.js	(from https://strongalts.com/)
20:05:25	1141/1141	---M--	200	added ('OK')	application/javascript	date:Tue,%2003%20Sep%202019%2022:59:58%20GMT	https://strongalts.com/assets/script.js	C:/Users/Sebit/Desktop/LionAlts/strongalts.com/assets/script.js	(from https://strongalts.com/)
20:05:28	14239/14239	---M-Z	200	added ('OK')	application/javascript	etag:W/%22379f-cNv9OKDx/DsafZ+tq1h4ZITDTxc%22	https://unpkg.com/aos@2.3.1/dist/aos.js	C:/Users/Sebit/Desktop/LionAlts/unpkg.com/aos@2.3.1/dist/aos.js	(from https://strongalts.com/)
20:05:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2003%20Oct%202019%2017:05:27%20GMT	http://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/Users/Sebit/Desktop/LionAlts/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.9.delayed	(from https://strongalts.com/)
20:05:28	532343/532343	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2003%20Oct%202019%2017:05:26%20GMT	https://shoppy.gg/api/embed.js	C:/Users/Sebit/Desktop/LionAlts/shoppy.gg/api/embed.js	(from https://strongalts.com/)
20:05:29	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/Users/Sebit/Desktop/LionAlts/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from https://strongalts.com/)
